comment_category,word,tf_idf
Comments - Chemotherapy Treatment,dahiya,0.0020389838417661744
Comments - Chemotherapy Treatment,cyclphosphamide,0.0017017761997823182
Comments - Chemotherapy Treatment,ixazomib,0.0017017761997823182
Comments - Chemotherapy Treatment,melphelan,0.0017017761997823182
Comments - Chemotherapy Treatment,saurabh,0.0017017761997823182
Comments - Chemotherapy Treatment,thesis,0.0017017761997823182
Comments - Chemotherapy Treatment,kyprolis,0.001391823000846423
Comments - Chemotherapy Treatment,melphalen,0.001391823000846423
Comments - Chemotherapy Treatment,abderdeen,0.0013593225611774496
Comments - Chemotherapy Treatment,ninlaro,0.0013593225611774496
Comments - Chemotherapy Treatment,katherine,0.0011608412988270546
Comments - Chemotherapy Treatment,neuropathy,0.0011608412988270546
Comments - Chemotherapy Treatment,absence,0.0011436022808708657
Comments - Chemotherapy Treatment,alkeran,0.0011436022808708657
Comments - Chemotherapy Treatment,atanachkovic,0.0011436022808708657
Comments - Chemotherapy Treatment,bontezomib,0.0011436022808708657
Comments - Chemotherapy Treatment,borezomib,0.0011436022808708657
Comments - Chemotherapy Treatment,botezomib,0.0011436022808708657
Comments - Chemotherapy Treatment,brotezomib,0.0011436022808708657
Comments - Chemotherapy Treatment,carfilizomib,0.0011436022808708657
Comments - Chemotherapy Treatment,carfizomib,0.0011436022808708657
Comments - Chemotherapy Treatment,chalazion,0.0011436022808708657
Comments - Chemotherapy Treatment,compliance,0.0011436022808708657
Comments - Chemotherapy Treatment,conditioner,0.0011436022808708657
Comments - Chemotherapy Treatment,correct,0.0011436022808708657
Comments - Chemotherapy Treatment,ctoxan,0.0011436022808708657
Comments - Chemotherapy Treatment,cyborda,0.0011436022808708657
Comments - Chemotherapy Treatment,cyclophosmaide,0.0011436022808708657
Comments - Chemotherapy Treatment,cylcles,0.0011436022808708657
Comments - Chemotherapy Treatment,discont,0.0011436022808708657
Comments - Chemotherapy Treatment,ellman,0.0011436022808708657
Comments - Chemotherapy Treatment,fellow,0.0011436022808708657
Comments - Chemotherapy Treatment,hegazi,0.0011436022808708657
Comments - Chemotherapy Treatment,increment,0.0011436022808708657
Comments - Chemotherapy Treatment,interaction,0.0011436022808708657
Comments - Chemotherapy Treatment,kilogram,0.0011436022808708657
Comments - Chemotherapy Treatment,kocoglyu,0.0011436022808708657
Comments - Chemotherapy Treatment,mahaood,0.0011436022808708657
Comments - Chemotherapy Treatment,manage,0.0011436022808708657
Comments - Chemotherapy Treatment,mangala,0.0011436022808708657
Comments - Chemotherapy Treatment,melphala,0.0011436022808708657
Comments - Chemotherapy Treatment,mobilzation,0.0011436022808708657
Comments - Chemotherapy Treatment,myeloablative,0.0011436022808708657
Comments - Chemotherapy Treatment,nivatpumin,0.0011436022808708657
Comments - Chemotherapy Treatment,nonobstructing,0.0011436022808708657
Comments - Chemotherapy Treatment,outpat,0.0011436022808708657
Comments - Chemotherapy Treatment,persist,0.0011436022808708657
Comments - Chemotherapy Treatment,pharmacy,0.0011436022808708657
Comments - Chemotherapy Treatment,phenytoin,0.0011436022808708657
Comments - Chemotherapy Treatment,plerixafor,0.0011436022808708657
Comments - Chemotherapy Treatment,provider,0.0011436022808708657
Comments - Chemotherapy Treatment,radhakrishnan,0.0011436022808708657
Comments - Chemotherapy Treatment,rappaport,0.0011436022808708657
Comments - Chemotherapy Treatment,reasonable,0.0011436022808708657
Comments - Chemotherapy Treatment,remobilization,0.0011436022808708657
Comments - Chemotherapy Treatment,restart,0.0011436022808708657
Comments - Chemotherapy Treatment,saikripa,0.0011436022808708657
Comments - Chemotherapy Treatment,schilla,0.0011436022808708657
Comments - Chemotherapy Treatment,sycles,0.0011436022808708657
Comments - Chemotherapy Treatment,transplan,0.0011436022808708657
Comments - Chemotherapy Treatment,upfront,0.0011436022808708657
Comments - Chemotherapy Treatment,velvade,0.0011436022808708657
Comments - Chemotherapy Treatment,venetoclax,0.0011436022808708657
Comments - Chemotherapy Treatment,arensmeyer,0.001116347837822905
Comments - Chemotherapy Treatment,heyman,0.001116347837822905
Comments - Chemotherapy Treatment,niyongere,0.001116347837822905
Comments - Chemotherapy Treatment,tejaswi,0.001116347837822905
Comments - Chemotherapy Treatment,interrupt,9.27882000564282e-4
Comments - Chemotherapy Treatment,bclose,8.508880998911591e-4
